,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Kavieng,32,PG,1539305420,95,-2.57,150.8,86.89,10.22
1,Arraial do Cabo,100,BR,1539305385,97,-22.97,-42.02,73.97,4.18
2,Rikitea,92,PF,1539305403,100,-23.12,-134.97,71.14,10.56
3,Avarua,75,CK,1539302400,69,-21.21,-159.78,77.0,17.22
4,Tasiilaq,92,GL,1539301800,100,65.61,-37.64,32.0,11.41
5,Busselton,92,AU,1539305268,100,-33.64,115.35,61.96,11.45
6,Juneau,75,US,1539304320,93,58.3,-134.42,46.4,2.39
7,Cidreira,80,BR,1539305407,74,-30.17,-50.22,63.67,18.05
8,Katsuura,75,JP,1539302400,67,33.93,134.5,60.8,5.82
9,Yulara,40,AU,1539302400,82,-25.24,130.99,66.2,11.41
10,Kupang,0,ID,1539304200,40,-10.16,123.6,87.8,3.36
11,Mahanoro,92,MG,1539305684,100,-19.9,48.8,66.82,3.4
12,Ushuaia,40,AR,1539302400,45,-54.81,-68.31,48.2,12.75
13,Dikson,76,RU,1539305424,100,73.51,80.55,31.99,19.62
14,Tuktoyaktuk,90,CA,1539304860,92,69.44,-133.03,21.2,11.41
15,Cape Town,20,ZA,1539302400,76,-33.93,18.42,57.2,12.75
16,Butaritari,68,KI,1539305366,100,3.07,172.79,82.75,9.78
17,Hermanus,64,ZA,1539305507,88,-34.42,19.24,53.95,4.63
18,Havoysund,20,NO,1539303600,93,71.0,24.66,37.4,5.82
19,Hobart,75,AU,1539304200,62,-42.88,147.33,55.4,4.7
20,Cherskiy,68,RU,1539305406,99,68.75,161.3,25.15,1.5
21,Aykhal,80,RU,1539305442,87,65.95,111.51,24.92,5.64
22,Codo,20,ID,1539305688,94,-8.13,112.72,74.78,5.53
23,Lorengau,36,PG,1539305405,95,-2.02,147.27,85.58,10.11
24,Ongandjera,24,NA,1539305689,33,-17.88,15.07,65.38,3.4
25,Ravar,0,IR,1539305689,64,31.27,56.81,46.03,2.62
26,Khatanga,0,RU,1539305472,85,71.98,102.47,20.78,13.13
27,Port Alfred,64,ZA,1539305389,94,-33.59,26.89,64.48,16.49
28,Mataura,92,NZ,1539305356,67,-46.19,168.86,44.23,20.29
29,Sabzevar,8,IR,1539305692,55,36.21,57.68,37.93,2.62
30,Valparaiso,5,US,1539305100,86,41.47,-87.06,46.94,16.11
31,Banes,90,CU,1539301800,94,20.96,-75.72,75.2,4.7
32,Isangel,0,VU,1539305693,98,-19.55,169.27,76.27,8.21
33,Hobyo,20,SO,1539305693,86,5.35,48.53,77.03,18.28
34,Longyearbyen,75,NO,1539301800,68,78.22,15.63,30.2,11.41
35,Punta Arenas,0,CL,1539302400,65,-53.16,-70.91,46.4,27.51
36,Great Falls,1,US,1539302280,11,47.5,-111.29,44.96,5.64
37,Yellowknife,75,CA,1539302400,92,62.45,-114.38,32.0,5.82
38,Tayu,75,JP,1539302400,56,35.06,136.67,68.0,25.28
39,Ponta do Sol,24,BR,1539305445,59,-20.63,-46.0,76.18,8.55
40,Padang,64,ID,1539305696,100,-0.92,100.36,78.25,11.68
41,Saskylakh,80,RU,1539305411,93,71.97,114.09,25.78,4.07
42,Broome,0,GB,1539303600,87,52.47,1.45,59.0,9.17
43,Kapaa,75,US,1539302160,67,22.08,-159.32,82.94,11.41
44,Hambantota,92,LK,1539305612,100,6.12,81.12,76.27,7.43
45,San Ignacio,0,CL,1539302400,81,-36.8,-72.03,53.6,5.82
46,Bambous Virieux,20,MU,1539302400,64,-20.34,57.76,71.6,11.41
47,Chokurdakh,80,RU,1539305504,86,70.62,147.9,21.91,2.73
48,Chicama,40,PE,1539302400,82,-7.84,-79.15,66.2,9.17
49,Faanui,24,PF,1539305424,100,-16.48,-151.75,80.0,14.47
50,Kruisfontein,100,ZA,1539305368,100,-34.0,24.73,61.15,13.8
51,Bredasdorp,20,ZA,1539302400,87,-34.53,20.04,57.2,1.12
52,Meulaboh,48,ID,1539305605,100,4.14,96.13,76.13,2.39
53,Constitucion,75,MX,1539301380,13,23.99,-104.67,77.0,10.29
54,Henties Bay,56,NA,1539305701,100,-22.12,14.28,57.05,3.62
55,Inuvik,90,CA,1539302400,92,68.36,-133.71,26.6,5.82
56,Hithadhoo,88,MV,1539305513,99,-0.6,73.08,83.83,5.19
57,Galesong,20,ID,1539304200,45,-5.32,119.37,86.0,3.36
58,New Norfolk,75,AU,1539304200,62,-42.78,147.06,55.4,4.7
59,Carnarvon,88,ZA,1539305414,41,-30.97,22.13,57.01,8.99
60,Victoria,75,BN,1539304200,83,5.28,115.24,84.2,2.24
61,Severo-Kurilsk,92,RU,1539305470,97,50.68,156.12,47.92,15.7
62,Bluff,92,AU,1539305355,75,-23.58,149.07,74.74,10.56
63,Ribeira Grande,92,PT,1539305434,94,38.52,-28.7,72.53,37.07
64,West Wendover,1,US,1539302160,50,40.74,-114.07,55.04,4.7
65,Sarkand,0,KZ,1539305705,73,45.41,79.91,37.03,6.08
66,Polson,0,US,1539305705,57,47.69,-114.16,42.88,2.06
67,Skjervoy,64,NO,1539305705,100,70.03,20.97,43.6,6.64
68,Mehamn,92,NO,1539305443,97,71.03,27.85,41.98,8.43
69,Riyadh,0,SA,1539302400,33,24.63,46.72,73.4,2.95
70,Luderitz,24,NA,1539302400,48,-26.65,15.16,62.6,26.4
71,Jamestown,0,AU,1539305357,57,-33.21,138.6,64.3,10.67
72,East London,24,ZA,1539305442,100,-33.02,27.91,66.68,22.75
73,Atuona,24,PF,1539305421,99,-9.8,-139.03,80.68,18.5
74,Norman Wells,75,CA,1539302400,94,65.28,-126.83,32.0,3.18
75,Puerto Ayora,20,EC,1539302400,73,-0.74,-90.35,73.4,18.34
76,Mlonggo,44,ID,1539305708,89,-6.53,110.7,79.51,4.18
77,Puerto Colombia,75,CO,1539302400,94,10.99,-74.96,77.0,5.53
78,Makakilo City,75,US,1539304980,60,21.35,-158.09,84.92,8.05
79,Ruteng,0,ID,1539305710,66,-8.61,120.46,78.7,3.51
80,Guerrero Negro,92,MX,1539305455,82,27.97,-114.04,69.97,6.76
81,Bethel,90,US,1539301980,70,60.79,-161.76,48.02,14.99
82,Saint Anthony,20,US,1539302160,10,43.97,-111.68,48.02,3.36
83,Clyde River,90,CA,1539302400,85,70.47,-68.59,15.8,2.24
84,Parrita,75,CR,1539303600,100,9.52,-84.33,69.8,4.7
85,Talnakh,68,RU,1539305417,92,69.49,88.39,29.65,19.28
86,Sala Consilina,88,IT,1539305712,97,40.4,15.6,57.05,1.39
87,Fortuna,0,ES,1539304200,88,38.18,-1.13,66.2,3.36
88,Matay,0,EG,1539305713,72,28.42,30.79,65.11,8.43
89,Verkhnyachka,0,UA,1539305713,89,48.83,30.04,43.69,7.65
90,Castro,0,CL,1539305364,86,-42.48,-73.76,44.0,6.42
91,Lubao,75,PH,1539302400,78,14.94,120.6,86.0,2.24
92,Dwarka,0,IN,1539305714,93,28.58,77.04,67.85,3.96
93,Tahlequah,1,US,1539303300,66,35.92,-94.97,60.8,3.96
94,Flin Flon,0,CA,1539305551,90,54.77,-101.88,33.52,5.53
95,Atasu,44,KZ,1539305715,54,48.68,71.64,42.02,16.04
96,Port Elizabeth,90,US,1539304920,100,39.31,-74.98,77.0,12.75
97,Viesca,40,MX,1539301200,22,25.34,-102.81,89.6,2.62
98,Bandarbeyla,0,SO,1539305716,92,9.49,50.81,75.91,12.46
99,Saint George,20,GR,1539303600,63,39.45,22.34,60.8,5.82
100,Dhadar,0,IN,1539305717,91,28.33,75.06,63.76,7.09
101,Agar,12,IN,1539305717,68,23.71,76.02,68.89,4.41
102,Kursenai,0,LT,1539303600,93,55.98,22.92,46.4,9.17
103,Paamiut,0,GL,1539305497,100,61.99,-49.67,35.14,27.56
104,Souillac,75,FR,1539304200,93,45.6,-0.6,62.6,10.45
105,Narsaq,20,GL,1539301800,50,60.91,-46.05,28.4,9.17
106,Salinopolis,64,BR,1539305359,94,-0.61,-47.36,81.4,16.15
107,Ouadda,88,CF,1539305720,98,8.07,22.4,67.81,5.53
108,Saint-Philippe,90,CA,1539303300,100,45.36,-73.48,51.44,8.05
109,Ingham,68,AU,1539305550,94,-18.65,146.16,76.4,5.53
110,Cayenne,0,GF,1539302400,94,4.94,-52.33,78.8,8.05
111,Buala,64,SB,1539305513,84,-8.15,159.59,84.19,7.09
112,Caravelas,24,BR,1539305375,100,-17.73,-39.27,77.44,19.06
113,Albany,90,US,1539303000,80,42.65,-73.75,69.08,4.7
114,Saint-Gaudens,0,FR,1539304200,87,43.11,0.72,57.2,4.7
115,Hilo,90,US,1539301980,60,19.71,-155.08,82.04,6.93
116,Peniche,20,PT,1539304200,88,39.36,-9.38,64.4,8.05
117,Cairns,20,AU,1539304200,54,-16.92,145.77,84.2,10.29
118,Sitka,76,US,1539305491,81,37.17,-99.65,48.73,9.55
119,Shelburne,90,CA,1539302400,66,44.08,-80.2,53.6,10.29
120,Srednekolymsk,88,RU,1539305724,89,67.46,153.71,26.86,3.18
121,Qaanaaq,76,GL,1539305423,100,77.48,-69.36,22.63,9.78
122,Cabo San Lucas,40,MX,1539301200,54,22.89,-109.91,82.4,17.22
123,Adrar,0,DZ,1539302400,41,27.87,-0.29,77.0,6.93
124,Vaini,0,IN,1539305422,84,15.34,74.49,67.58,3.62
125,Margate,75,AU,1539304200,62,-43.03,147.26,55.4,4.7
126,Corinto,92,BR,1539305726,33,-18.36,-44.46,85.18,8.1
127,Beringovskiy,92,RU,1539305424,100,63.05,179.32,40.99,25.55
128,Skreia,92,NO,1539305727,98,60.65,10.93,47.87,2.39
129,Saldanha,56,PT,1539305393,94,41.42,-6.55,54.13,7.09
130,Kodiak,1,US,1539301980,68,39.95,-94.76,46.94,5.82
131,Pevek,0,RU,1539305563,100,69.7,170.27,32.98,5.97
132,Lompoc,90,US,1539304500,55,34.64,-120.46,68.0,9.17
133,Chuy,100,UY,1539305455,100,-33.69,-53.46,49.67,10.78
134,Bathsheba,40,BB,1539302400,78,13.22,-59.52,82.4,8.05
135,Camacha,20,PT,1539304200,88,33.08,-16.33,71.6,5.82
136,Geraldton,90,CA,1539302400,92,49.72,-86.95,30.2,9.17
137,Kulhudhuffushi,88,MV,1539305431,100,6.62,73.07,82.66,12.8
138,Gotsu,75,JP,1539302400,76,35.01,132.22,57.2,5.82
139,Vardo,90,US,1539303300,90,39.62,-77.74,71.6,8.05
140,Sao Filipe,8,CV,1539305559,95,14.9,-24.5,80.23,12.24
141,Chapais,90,CA,1539305040,93,49.78,-74.86,37.4,12.75
142,Rio Grande,90,BR,1539302400,63,-32.03,-52.1,62.6,12.75
143,Omsukchan,56,RU,1539305732,82,62.53,155.8,24.79,3.51
144,Petropavlovsk-Kamchatskiy,32,RU,1539302400,57,53.05,158.65,50.0,2.24
145,Los Llanos de Aridane,0,ES,1539304200,73,28.66,-17.92,71.6,5.82
146,Hanko,0,FI,1539305733,94,59.83,22.95,51.65,10.22
147,Port Hawkesbury,90,CA,1539304800,93,45.62,-61.36,39.2,12.75
148,Peterhead,0,AU,1539304200,35,-34.83,138.5,73.4,13.87
149,Ostrovnoy,8,RU,1539305404,91,68.05,39.51,28.52,11.79
150,Kaitangata,92,NZ,1539305412,66,-46.28,169.85,44.14,22.19
151,Noshiro,75,JP,1539302400,100,40.21,140.05,59.0,6.93
152,Guanare,75,VE,1539302400,100,9.04,-69.74,75.2,2.73
153,Mar del Plata,0,AR,1539305413,45,-46.43,-67.52,52.55,9.1
154,Perdoes,8,BR,1539305736,65,-21.09,-45.09,73.97,13.13
155,Blagoyevo,88,RU,1539305736,84,63.37,47.92,33.02,8.99
156,Esperance,20,TT,1539302400,83,10.24,-61.45,80.6,3.36
157,Nurota,0,UZ,1539302400,78,40.56,65.69,41.0,6.93
158,Opuwo,20,NA,1539305741,48,-18.06,13.84,60.65,3.51
159,Kautokeino,32,NO,1539305741,83,69.01,23.04,21.64,2.39
160,Port Hardy,90,CA,1539302400,87,50.7,-127.42,50.0,4.7
161,Iqaluit,20,CA,1539302400,85,63.75,-68.52,17.6,6.93
162,Kavaratti,56,IN,1539305561,100,10.57,72.64,82.57,11.45
163,Lubango,0,AO,1539305743,91,-14.92,13.49,54.35,1.5
164,Sarh,20,TD,1539302400,78,9.14,18.39,75.2,6.93
165,Aksay,0,RU,1539305743,65,47.27,39.86,51.47,11.45
166,San Patricio,88,PY,1539305459,97,-26.98,-56.83,70.73,2.51
167,Llangefni,12,GB,1539301800,82,53.26,-4.31,55.4,25.28
168,Westport,92,IE,1539305499,99,53.8,-9.52,51.47,29.91
169,Angicos,0,BR,1539305745,52,-5.67,-36.6,81.04,14.25
170,Ossora,32,RU,1539305421,97,59.24,163.07,41.75,3.62
171,Alta Floresta,8,BR,1539305525,97,-9.87,-56.08,72.8,2.06
172,Indramayu,12,ID,1539305746,84,-4.05,103.78,72.31,3.06
173,Pangnirtung,20,CA,1539305440,100,66.15,-65.72,16.15,12.01
174,Sinjhoro,0,PK,1539302400,64,26.03,68.81,71.6,3.06
175,Kurilsk,100,RU,1539305747,100,45.23,147.88,55.93,3.18
176,San Quintin,20,PH,1539302400,74,17.54,120.52,82.4,2.24
177,Soe,90,EE,1539301800,100,57.91,26.05,50.0,4.7
178,Ercis,40,TR,1539301800,81,39.03,43.36,50.0,3.36
179,Vao,68,EE,1539305490,97,59.1,26.19,48.5,5.97
180,Puerto Escondido,90,MX,1539301200,69,15.86,-97.07,80.6,6.64
181,Codrington,92,AU,1539305388,100,-28.95,153.24,59.53,5.75
182,Upernavik,0,GL,1539305425,100,72.79,-56.15,25.78,13.58
183,Wageningen,90,NL,1539303900,72,51.98,5.66,62.6,8.05
184,Valdez,90,US,1539302160,92,61.13,-146.35,44.06,3.36
185,Marsh Harbour,36,BS,1539305754,100,26.54,-77.06,82.3,10.11
186,Deputatskiy,56,RU,1539305484,79,69.3,139.9,7.55,2.73
187,Zhangye,0,CN,1539305432,62,38.94,100.46,30.64,2.95
188,Charters Towers,76,AU,1539305755,66,-20.07,146.27,78.97,11.79
189,Bilma,68,NE,1539305498,25,18.69,12.92,78.16,3.62
190,Semporna,75,MY,1539302400,78,4.48,118.61,82.4,6.76
191,Klaksvik,92,FO,1539303600,93,62.23,-6.59,50.0,5.82
192,Carballo,80,ES,1539304200,72,43.21,-8.69,62.6,13.87
193,Praia,0,BR,1539302400,53,-20.25,-43.81,77.0,10.29
194,Loralai,0,PK,1539305758,64,30.37,68.6,29.29,3.62
195,Faya,0,SA,1539302400,33,18.39,42.45,62.6,3.74
196,Kasongo-Lunda,20,CD,1539305759,100,-6.48,16.82,67.81,2.17
197,Vaitape,80,PF,1539305615,100,-16.52,-151.75,78.7,15.03
198,Wloclawek,0,PL,1539305759,81,52.65,19.07,52.69,10.22
199,Sibolga,92,ID,1539305760,100,1.74,98.78,68.48,1.39
200,Conceicao do Araguaia,0,BR,1539305418,74,-8.26,-49.26,80.0,6.64
201,Hamilton,90,CA,1539302400,66,43.26,-79.87,55.4,11.41
202,Richards Bay,92,ZA,1539305600,92,-28.77,32.06,70.15,14.25
203,Tura,100,IN,1539305444,99,25.52,90.21,69.83,4.74
204,Tacloban,32,PH,1539305762,100,11.24,125.01,81.08,6.76
205,Amboasary,75,MG,1539302400,94,-25.04,46.38,68.0,16.11
206,Kieta,20,PG,1539305762,100,-6.22,155.63,79.28,4.63
207,Lebu,0,ET,1539305439,72,8.96,38.73,44.18,4.63
208,Pirovskoye,32,RU,1539305763,84,57.63,92.27,30.5,5.75
209,Santa Rosalia,20,IT,1539303600,68,38.07,13.27,71.6,4.7
210,Kipushi,12,CD,1539305764,54,-11.76,27.24,68.89,5.53
211,Hoyanger,8,NO,1539303600,59,61.22,6.07,60.8,16.11
212,Muros,20,ES,1539304200,77,42.77,-9.06,59.0,17.22
213,Luau,0,CD,1539305766,68,-10.7,22.23,72.08,4.52
214,Nikolskoye,90,RU,1539302400,100,59.7,30.79,41.0,4.47
215,Tual,20,ID,1539305768,100,-5.67,132.75,80.14,10.45
216,Dano,8,BF,1539305769,80,11.14,-3.06,77.48,3.4
217,Balkhash,36,KZ,1539305769,100,46.84,74.98,48.37,7.99
218,Port Arthur,1,US,1539304500,75,29.9,-93.93,78.8,6.2
219,Palana,92,RU,1539305771,98,59.08,159.95,39.55,5.97
220,Port-Gentil,68,GA,1539305653,100,-0.72,8.78,77.53,6.42
221,Provideniya,75,RU,1539302400,81,64.42,-173.23,42.8,15.66
222,Mercedes,92,UY,1539305772,100,-33.25,-58.03,51.16,14.03
223,Kenai,90,US,1539302160,65,60.55,-151.26,51.98,8.05
224,Arman,90,RU,1539302400,93,59.7,150.17,42.8,4.47
225,Wewak,64,PG,1539305773,74,-3.55,143.63,86.03,3.96
226,La Reforma,75,GT,1539302400,83,14.8,-91.82,80.6,6.93
227,Dingle,20,PH,1539305369,77,11.0,122.67,82.48,8.43
228,Tocopilla,56,CL,1539305774,99,-22.09,-70.2,59.57,6.64
229,Lima,20,PE,1539305405,63,-12.06,-77.04,59.62,3.06
230,Tambacounda,20,SN,1539302400,83,13.77,-13.67,84.2,4.7
231,Mahebourg,20,MU,1539302400,64,-20.41,57.7,71.6,11.41
232,Tornio,90,FI,1539303600,93,61.12,27.27,50.0,8.05
233,Koryukivka,0,UA,1539305776,86,51.77,32.25,41.12,6.42
234,Waingapu,0,ID,1539305777,81,-9.65,120.26,78.43,4.97
235,Springbok,68,ZA,1539305777,69,-29.67,17.88,50.89,3.74
236,Dalbandin,0,PK,1539305778,42,28.9,64.41,43.24,5.08
237,Flinders,75,AU,1539302400,55,-34.58,150.85,60.8,16.11
238,Port Hueneme,20,US,1539302220,52,34.15,-119.2,71.96,8.05
239,Phan Thiet,0,VN,1539305485,100,10.93,108.1,80.14,9.55
240,Tezu,92,IN,1539305393,79,27.93,96.16,61.87,1.61
241,San Cristobal,75,EC,1539302400,58,-0.39,-78.55,57.2,11.41
242,Tautira,20,PF,1539304200,62,-17.73,-149.15,86.0,3.36
243,Tab,0,HU,1539305781,80,46.74,18.04,54.67,8.1
244,Zhigansk,76,RU,1539305567,93,66.77,123.37,29.15,3.18
245,Leshukonskoye,12,RU,1539305781,85,64.9,45.76,35.05,10.22
246,Khandyga,56,RU,1539305782,85,62.65,135.58,17.9,2.62
247,Grand Gaube,20,MU,1539302400,64,-20.01,57.66,71.6,11.41
248,Sao Joao da Barra,64,BR,1539305510,100,-21.64,-41.05,74.78,5.75
249,Alyangula,0,AU,1539305783,88,-13.85,136.42,83.87,7.54
250,Santa Rosa,92,AR,1539305785,50,-36.62,-64.29,58.54,15.03
251,Cap Malheureux,20,MU,1539302400,64,-19.98,57.61,71.6,11.41
252,Birjand,0,IR,1539302400,18,32.86,59.22,42.8,6.93
253,Lae,40,PG,1539302400,62,-6.72,146.98,86.0,5.82
254,Arkhara,0,RU,1539305786,72,49.42,130.09,38.56,3.62
255,Wattegama,88,LK,1539305787,99,7.35,80.68,68.48,3.18
256,Valdivia,0,CL,1539302400,76,-39.81,-73.25,48.2,3.36
257,Morondava,0,MG,1539305788,98,-20.3,44.28,72.58,6.53
258,Asyut,0,EG,1539302400,68,27.18,31.19,66.2,6.93
259,Marsabit,0,KE,1539305788,64,2.34,37.99,72.04,8.77
260,Moratuwa,20,LK,1539303000,94,6.77,79.88,75.2,4.7
261,Pampierstad,76,ZA,1539305789,18,-27.78,24.69,73.97,11.56
262,Partizanskoye,0,UA,1539305790,87,44.83,34.08,48.28,5.97
263,Half Moon Bay,20,US,1539302160,58,37.46,-122.43,75.92,18.34
264,Ugoofaaru,92,MV,1539305791,99,5.67,73.0,82.93,11.56
265,Saint-Joseph,90,FR,1539304200,93,43.56,6.97,64.4,3.36
